影片名,上映年代,票房（万元）,,
十七岁,2015,425.21,,
世界屋脊的歌声,2014,425.2,,
恐怖游泳馆,2015,423.05,,
白幽灵传奇之绝命逃亡,2014,421.17,,
怨灵地下室,2016,418.8,,
魔都凶音,2016,414.82,,
灵臆事件,2015,410.32,,
天眼传奇,2015,410.14,,
枕边诡影,2015,404.97,,
为了这片土地,2015,400.96,,
极地大反攻,2015,398.91,,
辣警霸王花,2016,397.77,,
林中小屋,2014,396.36,,
白云桥,2016,395.44,,
五女闹京城,2016,371.85,,
凄灵室,2016,367.75,,
孤岛,2014,360.17,,
太空熊猫总动员,2014,358.27,,
荒村凶间,2016,343.14,,
红髅,2015,340.38,,
穿越硝烟的歌声,2015,339.39,,
诡影迷情,2015,339.38,,
探灵档案,2015,335,,
我爸比我小四岁,2015,332.38,,
难忘的岁月,2016,328.51,,
缘来是游戏,2014,327.17,,
爱之初体验,2015,321.15,,
我们毕业啦,2016,310.61,,
双生灵,2015,309.49,,
遵义会议,2016,308.4,,
无敌小飞猪,2015,307.83,,
我只要我们在一起,2015,306.87,,
狂野飞车,2015,304.29,,
魔卡行动,2015,282.41,,
我想结婚的时候你在哪,2014,280.59,,
对风说爱你,2015,277.66,,
恭喜发财之谈钱说爱,2016,277.16,,
筑梦人,2016,266.43,,
枕边有张脸2,2016,265.72,,
诡劫,2015,258.08,,
墓穴迷城,2015,248.98,,
雨夜惊魂,2015,248.16,,
234说爱你,2016,248,,
北回归线,2014,246.71,,
西游新传—真心话大冒险,2015,245.43,,
死亡之谜,2015,244.23,,
听说,2015,243.76,,
心咒,2014,243.34,,
花样厨神,2016,241.66,,
香气,2014,239.12,,
一家老小向前冲,2016,238.31,,
半熟少女,2016,233.38,,
夜半哭声,2016,229.46,,
失眠男女,2016,223.67,,
凶手还未睡,2016,222.1,,
三小强,2014,220.78,,
有一天,2014,216.85,,
摩登森林之美食总动员,2014,216.81,,
匆匆那些年,2014,209.51,,
生门,2016,201.23,,
没女神探,2015,200.41,,
放手爱,2014,198.45,,
第七谎言,2015,197.5,,
虐面人,2014,195,,
兰辉,2014,193.37,,
菜鸟,2015,191.1,,
白雪公主和三只小猪,2016,176.91,,
1980年代的爱情,2015,176.75,,
邓小平登黄山,2015,171.66,,
喜乐长安,2016,171.35,,
笑林足球,2016,171.17,,
爱在星空下,2016,171.03,,
南口1937,2016,170.69,,
喵星少年漂流记,2014,170.6,,
回到被爱的每一天,2015,169.99,,
超萌英雄,2014,168.66,,
狙击时刻,2014,167.18,,
诡娃娃,2015,164.94,,
犹太女孩在上海2—项链密码,2015,159.38,,
王子与108煞,2015,159.23,,
超能兔战队,2015,157.8,,
陌路惊笑,2015,156.65,,
少年师爷之大禹宝藏,2016,154.86,,
真爱,2014,150.65,,
我的老婆是明星,2016,147.8,,
动植物大战,2016,147.61,,
破局,2014,146.69,,
黄克功案件,2014,142.72,,
我的处女地,2015,140.04,,
诡打墙,2015,134.19,,
拳霸风云,2015,133.14,,
我的圣途,2016,131.12,,
十万伙急,2015,128.25,,
社区主任,2016,127.83,,
斐济99°的爱情,2014,127.06,,
镇海保卫战,2014,126.46,,
大宅男,2014,114.73,,
盛先生的花儿,2016,114.03,,
超级幼儿园,2016,111.98,,
小蚂蚁之环球大冒险,2016,111.79,,
古田会议,2016,108.21,,
风云1927,2014,107.46,,
终极胜利,2016,106.11,,
隔壁惊魂,2016,104.54,,
爱上试睡师,2016,96.79,,
黑月,2014,96.75,,
