2D数字艺术家
计算机系统管理
设计稿
设计稿指导
调光调色
调色
调色制片
调色制片
调色助理
调色师
调色指导
贝斯
财务总监
财务总监
财务支持
财务统筹
跟机员
跟组剪辑
跟组宣传
跟踪匹配
跟踪师
跟踪师
跟踪组
车管制片
车辆制片
车队副队长
车队队长
轨道员
转录
转录
转录
软件工程师
输入输出
运营总监
运营统筹
追踪
选角
选角副导演
选角导演
道具组长
道具设计
道具领班
遥控机械吊臂
配音导演
配音导演
配音录制
配音指导
配音领班
镜头跟踪师
镜头跟踪总监
镜头追踪
附加音乐
韩语翻译
韩语翻译
音乐
音乐
音乐制作
音乐制作助理
音乐录音师
音乐录音统筹
音乐混音师
音乐编辑
音乐编辑
音乐缩混
音乐设计
音响设计
音响设计
音响资料编辑
音效设计
音视频工程师
音频
音频制片
音频后期制作
音频总监
音频系统工程师
项目制片协调
项目协调
项目协调
项目开发经理
项目技师
项目监制
项目统筹
项目统筹
项目质检组
预告片制作
预告片制作人
预告片剪接助理
预告片剪辑师
预告片包装
预告片后期制作导演
预告片后期制作总监
预告片导演
预告片混音
预告片混音
预告片调色师
预告片项目经理
飞车器材领班
飞车指导
高级动画师
高级合成师
高级灯光师
高级特效师
高级立体制片
