name	regLocation	regCapital	industry	businessScope
亚洲鑫博电影文化传媒（北京）有限公司	北京市北京经济技术开发区荣华南路10号院3号楼1506室	8000 万元	广播、电视、电影和影视录音制作业	广播电视节目制作；电影摄制；组织文化艺术交流活动（不含演出）；会议服务；承办展览展示活动；礼仪服务；经济贸易咨询；公关策划；电脑图文设计；艺术创作；租赁乐器；销售乐器。（广播电视节目制作、电影摄制以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）
北京川江联盟影视文化有限公司	北京市朝阳区东三环北路16号16号楼307室	110 万元	广播、电视、电影和影视录音制作业	组织文化艺术交流活动（不含演出）；影视策划；电影发行。
长沙芒果博纳影院管理有限公司	长沙市芙蓉区黄兴中路188号乐和城L5001室	600万人民币	广播、电视、电影和影视录音制作业	影院管理；电影放映（凭许可证、审批文件经营）；预包装食品、散装食品零售（凭许可证、审批文件经营）；影剧院（凭许可证、审批文件经营）；国内各类广告发布；房屋租赁代理；工艺品销售。（涉及许可审批的经营项目，凭许可证或审批文件方可经营）
北京经纬星影视文化传媒有限公司	北京市怀柔区杨宋镇凤翔东大街9号9346室	3000 万元 人民币	广播、电视、电影和影视录音制作业	制作、发行动画片、电视综艺、专题片；影视策划；设计、制作、代理、发布广告；企业形象策划；承办展览展示；组织文化艺术交流活动（演出除外）。
北京胜利之歌影视文化有限公司	北京市怀柔区杨宋镇凤翔东大街9号9385室	10 万元 人民币	广播、电视、电影和影视录音制作业	组织文化艺术交流活动（不含演出）；影视策划；影视技术培训；企业形象策划；市场调查；承办展览展示；会议服务；设计、制作、代理、发布广告；电脑图文设计、制作；技术开发、技术服务；劳务服务（不含职业介绍）；信息咨询（不含中介服务）；影视设备、音像设备租赁；销售影视设备、音像设备及器材、电子产品、日用杂品、五金交电、建筑材料。
北京花市影联百老汇影院有限公司	北京市东城区崇文门外大街18号首层、地下一层、二层	1000 万元 人民币	广播、电视、电影和影视录音制作业	电影放映；向影院的观众零售预包装食品、饮料、爆米花、热狗；零售电影纪念品（其中需专项许可项目，未经许可不得经营）。(依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。)
龙虎风云（北京）影视文化传媒有限公司	北京市通州区永乐店镇永乐影视文化南路08009号	5000 万元	广播、电视、电影和影视录音制作业	摄制电影片、复制本单位影片、按规定发行国产影片及其复制品；制作、发行动画片、专题片、电视综艺、不得制作时政新闻及同类专题、专栏等广播电视节目。（摄制电影许可证有效期至2015年03月13日；广播电视节目及电视剧制作许可证有效期至2016年06月09日） 组织文化艺术交流活动（不含棋牌）、影视策划、承办展览展示；设计、制作、代理、发布广告；劳务派遣、企业形象策划、信息咨询（不含中介服务）、会议服务、网络技术推广服务。 
北京时代华夏今典电影院线发展有限责任公司	北京市海淀区文慧园北路9号今典花园9号楼空间蒙太奇大厦2层212号	1000 万元 人民币	广播、电视、电影和影视录音制作业	电影发行；设计、制作、代理、发布广告；票务代理；销售机械设备、电子产品、通讯设备；租赁机械设备。(依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。)
北京北广传媒影视股份有限公司	北京市顺义区临空经济核心区机场东路2号	10400 万元 人民币	广播、电视、电影和影视录音制作业	制作、发行电视节目、电视剧；经营演出及经纪业务；制作动画；软件开发。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）
云文（北京）影业投资有限责任公司	北京市朝阳区东三环中路63号楼1203号	1000 万元	广播、电视、电影和影视录音制作业	电影摄制；广播电视节目制作；项目投资；投资管理；文艺创作；会计咨询；组织文化艺术交流活动（不含演出）；企业策划。（依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）
